student_id,class_name,subject,score,ai_tool_used,study_hours,record_date
S0207,Class 6B,Math,60.8,False,3.0,2025-01-09
S0208,Class 6B,Math,67.8,True,4.4,2025-02-03
S0209,Class 5A,English,83.1,False,8.6,2025-01-23
S0210,Class 5A,English,75.4,False,5.3,2025-03-07
S0211,Class 6B,Math,51.7,False,1.2,2025-04-09
S0212,Class 6B,Math,57.3,False,3.1,2025-03-28
S0213,Class 6B,Math,80.4,True,9.1,2025-03-12
S0214,Class 5B,Science,66.8,True,1.0,2025-01-29
S0215,Class 5A,English,86.6,True,5.7,2025-03-17
S0216,Class 5A,History,56.8,False,1.4,2025-04-11
S0217,Class 5A,English,69.7,False,4.1,2025-04-14
S0218,Class 6A,Science,76.9,True,5.9,2025-04-15
S0219,Class 6B,History,78.5,False,8.3,2025-03-05
S0220,Class 5A,English,85.3,True,8.1,2025-02-14
S0221,Class 6B,History,78.9,True,7.8,2025-04-15
S0222,Class 5A,English,82.8,True,8.2,2025-03-03
S0223,Class 6B,English,76.5,False,5.5,2025-03-13
S0224,Class 6A,Math,66.0,False,1.7,2025-03-16
S0225,Class 6A,English,71.8,True,4.0,2025-04-07
S0226,Class 6B,Science,69.7,False,4.2,2025-02-20
S0227,Class 6B,English,76.3,False,8.1,2025-02-26
S0228,Class 6A,Science,66.9,False,2.3,2025-01-10
S0229,Class 5B,Math,87.5,True,6.8,2025-01-10
S0230,Class 5B,History,69.5,False,4.3,2025-03-14
S0231,Class 6A,History,69.8,True,3.5,2025-01-29
S0232,Class 6B,History,66.2,False,2.1,2025-02-02
S0233,Class 6A,History,60.9,True,2.2,2025-04-07
S0234,Class 6B,Math,85.9,False,9.7,2025-04-06
S0235,Class 5A,English,85.9,False,8.7,2025-03-28
S0236,Class 5B,English,53.7,False,2.1,2025-04-17
S0237,Class 6B,Math,87.4,True,6.2,2025-01-22
S0238,Class 5A,Math,91.9,True,10.0,2025-04-14
S0239,Class 6B,Math,69.9,True,3.9,2025-03-13
S0240,Class 6A,Science,71.8,False,8.0,2025-01-22
S0241,Class 6B,Math,63.7,False,5.7,2025-04-06
S0242,Class 5B,English,62.2,False,5.7,2025-01-31
S0243,Class 6A,Science,72.1,False,6.5,2025-03-22
S0244,Class 5B,Science,80.9,False,7.5,2025-03-19
S0245,Class 5A,Math,86.9,True,9.5,2025-02-01
S0246,Class 6B,Math,86.4,True,6.6,2025-03-08
S0247,Class 5B,History,63.8,True,1.7,2025-03-08
S0248,Class 6B,Science,70.6,True,2.3,2025-04-26
S0249,Class 6A,History,72.9,True,4.3,2025-03-06
S0250,Class 5A,English,73.3,True,2.3,2025-04-26
S0251,Class 6B,Science,87.6,False,9.1,2025-04-08
S0252,Class 6A,Science,69.8,False,5.5,2025-02-14
S0253,Class 6B,Math,71.2,True,4.5,2025-03-21
S0254,Class 6A,Math,84.2,True,5.5,2025-03-07
S0255,Class 6A,Math,74.2,False,4.9,2025-04-13
S0256,Class 6B,English,66.6,True,1.5,2025-02-11
S0257,Class 5A,History,82.3,False,7.9,2025-04-03
S0258,Class 5A,Science,66.4,False,4.5,2025-02-21
S0259,Class 5B,Science,57.4,False,4.6,2025-04-07
S0260,Class 6A,History,58.3,False,2.3,2025-03-25
S0261,Class 6A,Science,85.3,True,6.5,2025-03-11
S0262,Class 6B,English,59.5,True,1.1,2025-02-28
S0263,Class 6A,Math,73.0,False,3.4,2025-03-21
S0264,Class 5B,Math,64.9,False,2.5,2025-04-23
S0265,Class 6B,Science,67.6,False,3.2,2025-01-30
S0266,Class 5A,History,70.8,True,2.4,2025-04-15
S0267,Class 6B,Math,78.6,False,5.7,2025-03-08
S0268,Class 6B,English,69.7,False,5.1,2025-04-02
S0269,Class 6A,History,68.6,True,3.2,2025-02-13
S0270,Class 6A,Science,70.3,False,5.4,2025-04-17
S0271,Class 6A,English,88.8,True,7.1,2025-04-20
S0272,Class 6A,Science,73.0,True,3.6,2025-03-03
S0273,Class 6A,History,84.7,True,8.5,2025-02-09
S0274,Class 5B,Math,72.9,False,6.3,2025-03-14
S0275,Class 5B,Science,71.8,True,4.7,2025-04-14
S0276,Class 5B,Math,80.9,False,9.8,2025-03-07
S0277,Class 6B,Science,56.7,False,3.6,2025-04-14
S0278,Class 5A,Science,84.0,False,7.5,2025-01-28
S0279,Class 6B,Science,65.9,False,1.3,2025-01-29
S0280,Class 6A,Math,83.9,True,6.1,2025-02-11
S0281,Class 6B,History,57.9,False,2.2,2025-04-19
S0282,Class 5A,English,70.0,True,5.1,2025-04-10
S0283,Class 6A,English,79.3,False,7.8,2025-02-26
S0284,Class 6B,English,73.4,True,7.0,2025-02-16
S0285,Class 5B,Math,81.8,True,3.1,2025-02-13
S0286,Class 5A,English,65.3,False,7.2,2025-02-14
S0287,Class 5B,History,85.9,False,9.3,2025-04-04
S0288,Class 5A,English,75.8,True,3.0,2025-03-05
S0289,Class 6A,History,85.4,False,9.2,2025-04-21
S0290,Class 5B,Science,74.1,False,6.4,2025-03-14
S0291,Class 6A,Math,69.4,False,2.0,2025-01-31
S0292,Class 5B,Science,70.6,True,5.7,2025-03-21
S0293,Class 6B,Math,59.9,False,5.0,2025-02-28
S0294,Class 6B,Math,64.9,False,7.1,2025-02-07
S0295,Class 5A,Science,51.6,False,1.4,2025-01-13
S0296,Class 5A,History,82.9,True,4.7,2025-04-09
S0297,Class 6B,English,75.7,False,4.4,2025-02-23
S0298,Class 5A,Science,64.9,False,4.1,2025-03-14
S0299,Class 5B,Science,77.8,False,7.8,2025-04-08
S0300,Class 6B,History,59.5,False,3.2,2025-04-08
