student_id,class_name,subject,score,ai_tool_used,study_hours,record_date
S0383,UG Year 1,Mathematics,59.5,False,5.6,2022-09-27
S0591,PG Year 2,AI Ethics,84.1,False,13.5,2022-10-23
S0433,Class 11A,Chemistry,60.1,True,4.1,2023-07-09
S0149,UG Year 4,Data Science,59.0,True,9.1,2024-05-08
S0304,Class 11B,Chemistry,64.0,True,3.0,2024-02-09
S0528,UG Year 1,Mathematics,78.9,True,9.2,2025-05-17
S0271,Class 11B,Math,62.4,False,6.6,2022-06-10
S0062,Class 6B,Math,56.2,False,2.6,2023-08-17
S0196,PG Year 1,Statistics,47.3,False,6.8,2022-10-26
S0960,Class 6A,Geography,71.0,True,4.1,2024-06-30
S0110,Class 11B,Math,71.6,False,8.0,2023-10-14
S0439,Class 9A,Chemistry,59.7,True,3.9,2025-03-06
S0328,UG Year 2,Statistics,68.1,True,7.9,2024-07-23
S0403,PG Year 1,Research Methods,76.1,True,9.6,2023-07-06
S0606,Class 11B,English,65.2,True,4.3,2024-01-04
S0065,Class 11B,Math,63.4,False,4.9,2024-09-30
S0035,PG Year 1,Research Methods,79.9,True,11.4,2022-08-29
S0386,UG Year 2,Statistics,45.4,False,4.1,2023-11-24
S0211,PG Year 1,AI Ethics,67.1,True,10.5,2024-05-31
S0196,Class 9A,English,69.4,False,6.1,2022-07-04
S0533,UG Year 3,Statistics,77.0,True,8.0,2024-06-06
S0765,Class 9A,Physics,60.6,True,2.7,2023-06-15
S0196,UG Year 4,Project Work,72.8,True,8.9,2024-07-24
S1059,Class 6B,English,73.9,True,3.2,2024-01-28
S0094,Class 11A,Physics,69.4,True,3.4,2024-08-12
S0886,UG Year 1,Computer Science,43.6,False,3.9,2022-09-16
S0813,UG Year 2,Economics,80.9,True,8.1,2024-05-08
S1149,Class 9A,Math,59.8,True,5.7,2025-05-30
S0686,PG Year 2,Data Science,49.3,False,8.9,2024-05-24
S1117,PG Year 1,Data Science,57.3,False,10.8,2024-11-02
S0165,Class 6A,Science,51.6,False,1.9,2024-03-05
S0053,Class 9B,Biology,78.4,True,6.6,2023-04-16
S1052,Class 11B,English,68.6,True,5.9,2024-07-31
S0963,Class 6A,Science,69.3,True,1.1,2023-09-02
S1174,UG Year 4,AI Ethics,72.7,True,9.8,2024-11-21
S0978,Class 11B,English,76.2,True,2.6,2024-09-02
S0359,UG Year 1,Statistics,77.9,False,10.5,2022-06-03
S1008,Class 6B,Science,66.7,False,4.3,2024-10-25
S0691,Class 9B,Math,42.7,False,2.8,2023-07-08
S1049,Class 6A,Math,66.5,False,2.3,2024-03-04
S0711,UG Year 1,English,58.1,False,4.9,2025-05-14
S0553,UG Year 1,Computer Science,68.8,True,5.1,2023-09-06
S0445,Class 6B,Math,44.9,False,1.6,2024-05-07
S0253,UG Year 2,Research Methods,66.6,True,9.3,2024-03-01
S0993,Class 6A,Geography,71.6,True,1.8,2025-02-17
S0479,Class 6B,Math,56.9,False,2.4,2022-11-01
S0615,Class 11A,Computer Science,54.8,False,4.6,2024-04-01
S1053,Class 6A,Science,82.7,True,1.8,2022-10-24
S1148,UG Year 3,Research Methods,75.5,True,9.2,2023-07-15
S0937,Class 11A,Chemistry,47.7,False,6.6,2024-05-08
S0612,UG Year 4,Advanced Statistics,70.3,True,10.5,2022-10-08
S0737,UG Year 2,Research Methods,68.6,True,5.6,2022-06-19
S0663,UG Year 3,Research Methods,82.7,True,9.5,2023-06-15
S1193,Class 6B,Geography,69.4,True,3.0,2024-03-30
S0454,PG Year 2,Data Science,62.4,True,9.0,2022-08-02
S0823,UG Year 1,Mathematics,56.3,True,3.9,2024-05-29
S0334,UG Year 1,Computer Science,70.7,True,6.3,2024-02-25
S0144,Class 11A,Math,70.3,True,6.4,2024-06-16
S0540,Class 6A,Geography,80.2,False,2.9,2024-10-03
S0154,Class 9A,Chemistry,57.1,False,5.2,2024-03-29
S0744,Class 11B,Computer Science,73.3,True,7.9,2022-07-25
S0855,Class 9B,Biology,43.9,False,3.5,2023-02-21
S0489,Class 9A,Chemistry,57.6,True,2.5,2025-02-06
S0707,Class 6A,English,56.9,True,2.6,2022-10-15
S0853,Class 11A,Math,62.6,True,4.6,2023-09-22
S0992,Class 9B,English,62.7,True,3.8,2022-11-13
S0191,Class 9A,Biology,41.6,False,2.4,2024-08-21
S0017,UG Year 1,English,60.1,True,2.6,2023-11-06
S0658,Class 6A,English,67.6,True,1.3,2024-10-17
S0322,PG Year 2,Thesis,53.9,False,9.8,2025-02-21
S1034,Class 6B,Geography,58.8,False,2.1,2025-04-09
S0620,Class 6A,Geography,90.9,True,3.9,2023-01-04
S0370,UG Year 1,Mathematics,66.9,True,6.6,2022-10-02
S0935,PG Year 2,Deep Learning,50.0,True,7.8,2025-03-05
S0049,Class 9A,Physics,53.0,False,2.9,2024-09-27
S0807,UG Year 3,Data Analysis,56.6,False,9.8,2023-08-27
S0686,UG Year 1,English,57.7,True,7.3,2024-11-12
S0714,UG Year 4,Machine Learning,64.6,True,9.8,2024-03-19
S0971,Class 11A,English,63.0,False,8.0,2023-05-15
S0137,Class 9A,Biology,59.7,False,4.2,2023-10-24
S0403,PG Year 2,Advanced Statistics,68.8,True,6.7,2023-04-16
S0110,PG Year 1,AI Ethics,80.6,True,11.9,2023-04-09
S1163,Class 9B,English,61.5,False,5.8,2024-02-23
S0455,PG Year 1,Data Science,79.6,True,7.5,2022-09-01
S0794,Class 9A,Chemistry,59.6,True,3.2,2023-04-19
S1092,Class 11A,Chemistry,66.3,True,3.2,2023-01-17
S0900,UG Year 1,Mathematics,54.8,False,5.3,2023-04-17
S0603,UG Year 1,English,79.9,True,6.5,2024-06-05
S0802,UG Year 1,Mathematics,70.4,True,5.5,2024-04-23
S0702,Class 6B,Science,46.8,False,1.3,2024-03-27
S0348,Class 9A,Physics,53.1,True,3.9,2023-06-03
S0209,PG Year 1,Research Methods,81.6,True,14.6,2024-08-19
S0785,Class 11B,Computer Science,73.5,True,5.1,2024-09-15
S1158,Class 11A,Physics,66.6,True,3.3,2023-09-28
S0574,Class 9B,Chemistry,53.2,False,2.9,2025-03-20
S0344,Class 9A,Math,74.1,True,4.0,2023-04-21
S0528,Class 6B,Science,63.3,True,1.9,2024-04-23
S1192,Class 6A,Math,54.7,False,2.9,2023-02-10
S0914,PG Year 2,AI Ethics,77.3,False,13.2,2023-08-01
S1045,Class 9A,Biology,56.1,False,4.1,2022-08-18
S1034,UG Year 1,Economics,71.4,True,6.8,2024-05-13
S0806,UG Year 3,Database Systems,64.0,True,7.7,2022-07-07
S1139,UG Year 1,Statistics,47.4,False,4.2,2025-03-07
S0657,UG Year 2,Data Analysis,74.3,True,4.9,2023-04-02
S0636,Class 11A,Computer Science,55.3,False,2.9,2023-09-19
S1184,Class 9A,Chemistry,58.2,True,4.3,2025-02-13
S0810,UG Year 2,Computer Science,68.0,True,7.2,2024-08-16
S0040,UG Year 3,Machine Learning,68.2,False,9.3,2024-04-11
S0527,Class 6B,History,57.1,True,1.8,2022-06-09
S0723,Class 11A,Chemistry,61.3,True,6.9,2024-06-06
S0467,Class 6A,Science,60.1,True,3.1,2024-10-09
S0978,PG Year 2,Data Science,52.4,False,10.4,2024-10-29
S0913,Class 6B,English,52.8,False,2.2,2022-11-22
S1196,UG Year 1,Computer Science,50.9,False,5.8,2024-03-28
S0338,Class 11A,Chemistry,80.2,True,6.1,2024-06-09
S0679,PG Year 2,Data Science,68.4,True,9.5,2023-05-23
S0458,PG Year 1,Machine Learning,62.6,True,9.1,2023-08-09
S0781,Class 11B,Computer Science,59.7,True,2.7,2023-02-04
S1110,PG Year 2,Data Science,60.3,True,13.3,2025-01-29
S0377,UG Year 2,Economics,53.7,True,5.9,2023-02-28
S0679,UG Year 2,Research Methods,80.7,True,9.4,2024-01-27
S0610,UG Year 3,Machine Learning,51.4,False,7.0,2022-08-24
S0807,Class 11A,Chemistry,45.4,False,6.5,2024-08-06
S0751,UG Year 3,Data Analysis,80.5,True,9.7,2025-01-17
S1171,Class 11A,Math,47.7,False,5.0,2023-05-10
S0267,Class 9B,Chemistry,63.3,False,4.4,2024-05-27
S0001,Class 6B,Math,69.4,True,1.6,2023-01-19
S0515,Class 9B,English,67.0,True,2.9,2023-09-16
S0970,Class 11A,Computer Science,61.0,False,5.6,2025-02-28
S0411,UG Year 4,Advanced Statistics,65.3,True,8.9,2022-06-25
S1017,UG Year 1,Computer Science,73.2,True,6.4,2024-06-23
S0089,UG Year 1,Computer Science,59.3,False,7.5,2025-04-01
S0394,Class 6A,Geography,61.2,False,1.2,2024-09-12
S1027,Class 6A,Geography,70.2,False,3.7,2024-07-25
S0522,Class 6A,Science,63.7,False,3.4,2025-04-03
S0675,Class 11B,Physics,42.8,False,2.6,2022-10-16
S0299,PG Year 1,Statistics,76.5,True,9.0,2023-07-22
S0086,UG Year 3,Database Systems,67.1,True,6.5,2025-02-07
S0885,Class 9A,Math,68.3,True,1.7,2023-05-17
S0470,PG Year 2,Deep Learning,72.3,True,11.1,2025-03-24
S1148,UG Year 1,English,62.3,False,8.8,2023-05-19
S0354,Class 9A,Math,62.0,False,5.0,2024-02-19
S0334,UG Year 4,Machine Learning,46.4,True,5.1,2023-04-02
S0931,Class 9B,English,52.4,False,4.8,2023-03-21
S1169,PG Year 1,AI Ethics,71.0,True,9.5,2025-01-20
S0449,UG Year 2,Data Analysis,63.9,True,9.1,2023-01-23
S0086,UG Year 3,Data Analysis,86.8,True,5.3,2023-10-20
S1172,UG Year 2,Economics,58.4,False,7.2,2024-10-05
S0653,Class 11A,Math,65.0,False,6.6,2022-11-05
S0503,Class 9A,Math,70.6,True,3.3,2024-04-06
S0930,UG Year 1,English,56.6,False,2.9,2023-04-18
S1101,PG Year 1,Statistics,62.2,False,10.3,2022-11-02
S0063,Class 6B,History,67.5,False,1.4,2023-10-08
S0326,Class 6B,Science,64.0,False,3.6,2025-02-21
S0013,UG Year 1,Mathematics,67.1,False,7.1,2024-06-06
S0480,PG Year 2,Data Science,79.7,True,12.8,2023-09-14
S0962,UG Year 4,Advanced Statistics,72.7,True,10.1,2024-11-21
S0207,UG Year 4,Machine Learning,68.7,True,9.6,2023-08-13
S0580,Class 9A,Physics,66.1,False,4.2,2024-01-04
S0122,Class 6A,History,59.1,False,1.9,2022-06-07
S0783,UG Year 4,Data Science,86.8,True,13.4,2023-01-15
S0067,UG Year 4,Data Science,62.4,True,5.6,2024-04-15
S1081,Class 11B,Physics,70.9,True,5.3,2023-09-11
S0944,PG Year 1,AI Ethics,65.2,True,6.2,2024-08-22
S0310,UG Year 3,Statistics,64.5,True,6.6,2022-10-05
S1037,Class 6B,English,58.2,True,1.1,2024-04-23
S1092,UG Year 4,Project Work,72.0,True,7.1,2022-10-28
S0868,PG Year 1,AI Ethics,57.9,False,6.5,2024-08-18
S0849,Class 6A,Geography,62.3,False,3.5,2024-11-22
S0510,UG Year 3,Research Methods,54.7,False,6.8,2024-01-22
S0230,PG Year 2,Data Science,84.9,True,14.3,2024-05-01
S0324,Class 6A,Math,71.1,True,1.5,2024-02-04
S1012,UG Year 4,Data Science,52.9,True,7.9,2023-09-16
S0021,Class 11B,Computer Science,75.3,True,7.1,2023-03-26
S0171,UG Year 3,Statistics,47.9,False,7.1,2024-10-22
S0622,Class 9B,Math,44.6,False,3.4,2024-07-25
S0798,UG Year 3,Database Systems,75.5,True,10.1,2023-03-24
S0058,PG Year 1,Research Methods,73.1,True,9.8,2025-05-19
S0290,PG Year 1,Research Methods,75.6,True,10.8,2024-01-27
S0040,UG Year 1,Computer Science,59.3,True,4.3,2024-02-26
S0041,UG Year 4,AI Ethics,65.1,False,8.1,2024-05-19
S0692,UG Year 3,Data Analysis,83.3,True,9.1,2023-04-30
S0910,UG Year 1,English,82.3,True,7.2,2025-04-08
S1188,Class 9A,Chemistry,52.2,False,3.0,2025-01-23
S1081,UG Year 4,Data Science,82.6,True,9.8,2025-04-24
S0520,Class 11A,English,68.4,True,6.3,2024-02-15
S0465,PG Year 1,Research Methods,69.7,True,8.7,2022-08-23
S0833,Class 6A,Science,61.2,False,3.0,2024-05-06
S1166,PG Year 2,AI Ethics,55.3,True,6.9,2023-04-30
S0487,UG Year 3,Data Analysis,55.4,False,6.5,2023-08-31
S0817,PG Year 1,AI Ethics,70.7,True,8.9,2025-03-13
S0984,Class 9B,Chemistry,60.0,True,6.7,2024-04-25
S1031,UG Year 4,Machine Learning,59.0,True,8.3,2025-02-20
S1143,Class 11A,Math,52.1,False,2.8,2024-05-05
S0738,UG Year 2,Economics,71.1,True,8.7,2024-02-26
S0086,Class 11A,Physics,70.4,True,5.0,2022-08-31
S1113,UG Year 3,Statistics,68.7,True,8.0,2024-10-14
S0897,Class 11B,Math,43.7,False,4.4,2023-02-24
S0671,Class 9A,Chemistry,50.0,False,2.4,2023-08-29
S0171,UG Year 2,Computer Science,57.1,False,9.2,2022-09-22
S1015,Class 6A,Science,68.4,True,3.4,2024-07-07
S0846,Class 11B,Chemistry,49.9,False,3.3,2024-05-13
S0820,UG Year 3,Database Systems,64.9,True,10.0,2023-03-08
S0472,UG Year 3,Research Methods,90.4,True,11.9,2022-10-27
S0057,Class 9B,Biology,63.5,True,2.5,2023-09-12
S0387,PG Year 2,Data Science,70.1,True,7.3,2024-03-11
S1116,Class 11A,Math,69.2,False,7.2,2025-01-30
S0787,Class 6B,Math,64.6,False,3.0,2023-02-18
S0980,PG Year 1,Statistics,47.4,False,6.1,2025-03-27
S0629,UG Year 1,Statistics,61.4,True,5.6,2023-10-15
S1124,UG Year 1,Economics,65.3,False,4.0,2025-04-15
S0146,Class 9A,Physics,66.8,True,4.1,2024-07-13
S0630,UG Year 1,Computer Science,89.1,True,9.9,2023-05-16
S0085,Class 9B,Biology,55.0,True,2.4,2025-01-25
S0560,Class 9A,Chemistry,59.1,False,2.8,2023-01-16
S0182,UG Year 4,AI Ethics,61.2,False,5.1,2024-05-20
S0581,Class 6B,Math,60.0,True,2.8,2022-11-22
S0891,UG Year 4,Advanced Statistics,70.7,True,10.6,2023-11-13
S0108,PG Year 1,Research Methods,59.3,False,10.1,2022-10-30
S0196,UG Year 3,Data Analysis,80.5,True,5.4,2023-05-20
S0359,PG Year 1,AI Ethics,91.0,True,14.7,2024-11-19
S0396,UG Year 1,Statistics,67.5,True,4.9,2023-09-08
S0330,Class 11B,Physics,65.3,True,5.9,2024-09-17
S0232,UG Year 1,Mathematics,71.9,True,5.5,2022-07-16
S0464,UG Year 4,AI Ethics,67.4,True,6.2,2024-03-14
S0556,UG Year 3,Research Methods,59.9,False,8.6,2024-09-04
S0002,Class 9A,Chemistry,68.9,True,1.9,2023-03-20
S0346,UG Year 1,Statistics,59.0,True,4.0,2024-03-28
S1155,Class 11A,Computer Science,66.7,True,3.9,2024-03-04
S0698,Class 11A,Computer Science,73.7,True,5.1,2025-05-27
S0449,UG Year 2,Data Analysis,48.7,False,3.9,2023-07-27
S0244,UG Year 2,Research Methods,45.6,False,3.6,2024-06-20
S1017,PG Year 1,Machine Learning,68.6,True,14.2,2022-08-01
S0611,UG Year 4,AI Ethics,62.5,True,4.8,2024-02-14
S0781,PG Year 1,Research Methods,66.3,True,10.2,2022-11-10
S0237,UG Year 1,Economics,64.4,True,7.6,2023-01-30
S0098,Class 11A,Physics,66.9,True,2.6,2023-05-10
S0109,PG Year 1,Research Methods,56.6,True,7.2,2023-09-24
S0845,Class 9A,Physics,48.0,False,3.5,2022-10-02
S0812,UG Year 1,Statistics,54.5,True,3.0,2023-11-02
S0456,Class 6B,English,59.1,False,4.2,2025-02-27
S0946,Class 11B,Computer Science,71.5,True,6.5,2024-03-22
S0996,UG Year 1,Computer Science,62.5,False,6.5,2023-10-01
S0298,Class 11B,Chemistry,67.1,True,4.4,2022-10-21
S0892,PG Year 1,Machine Learning,82.5,True,12.9,2024-01-06
S0284,Class 6B,Science,70.1,True,2.2,2024-07-08
S0664,Class 6B,History,74.6,False,4.0,2024-11-06
S1192,UG Year 4,Advanced Statistics,63.0,True,8.1,2023-06-12
S0404,Class 11A,Chemistry,74.9,True,5.7,2022-06-22
S0843,Class 6A,Science,52.2,False,2.3,2022-06-08
S1024,UG Year 4,Machine Learning,48.0,False,7.1,2025-05-16
S0831,Class 9A,Chemistry,60.1,False,4.7,2025-01-19
S1189,Class 9B,Physics,57.3,False,3.0,2025-03-19
S1142,UG Year 2,Economics,66.9,True,4.9,2023-09-04
S0214,Class 9B,Biology,75.0,True,4.9,2023-04-15
S0131,PG Year 1,Research Methods,75.2,True,13.9,2022-07-05
S0666,UG Year 2,Computer Science,75.0,True,8.2,2024-05-17
S0310,Class 11B,Chemistry,67.1,False,6.1,2023-04-10
S0633,Class 11A,Physics,58.8,False,3.4,2024-04-07
S0712,Class 11B,Computer Science,68.2,True,5.0,2025-03-12
S0289,Class 9B,English,64.5,False,3.8,2024-10-28
S0685,Class 11A,Physics,58.0,False,6.7,2022-11-01
S0980,UG Year 4,Project Work,83.4,True,13.0,2022-06-03
S0570,Class 9B,Math,62.1,False,5.9,2024-05-08
S1098,Class 11A,Math,46.6,False,3.0,2023-08-08
S0108,Class 6B,Geography,76.1,True,2.8,2024-04-01
S0921,Class 9B,Biology,64.0,True,4.8,2023-03-18
S0646,Class 6B,English,58.7,False,3.0,2023-09-11
S0513,Class 9A,Physics,42.6,False,2.0,2022-06-03
S0568,Class 6B,Math,49.3,False,3.2,2024-03-28
S0732,Class 9A,English,70.1,True,6.3,2024-11-14
S0977,Class 11A,Physics,69.7,True,4.7,2022-11-25
S0649,UG Year 1,Statistics,72.8,True,9.2,2023-07-14
S0024,Class 6A,Geography,68.3,True,1.2,2023-08-19
S0328,Class 11B,English,68.8,True,5.4,2023-04-05
S1102,UG Year 3,Data Analysis,78.6,True,9.0,2025-01-27
S0471,PG Year 1,Statistics,56.6,True,5.3,2023-09-06
S0517,UG Year 2,Statistics,63.1,True,7.1,2023-03-07
S0913,UG Year 4,Advanced Statistics,70.9,True,8.6,2024-07-08
S0027,Class 6B,Math,49.9,False,2.4,2022-10-20
S0682,Class 6A,English,45.6,False,2.3,2025-01-31
S1009,UG Year 1,Statistics,74.3,True,4.9,2022-09-10
S0300,UG Year 1,Mathematics,82.2,True,10.5,2023-01-20
S0146,PG Year 2,Data Science,66.7,True,10.0,2024-09-24
S0100,UG Year 1,Computer Science,58.6,True,4.0,2024-01-22
S0110,PG Year 1,Statistics,55.5,False,9.1,2024-06-14
S0247,PG Year 1,Statistics,48.2,False,6.4,2024-09-11
S0369,UG Year 2,Research Methods,60.4,False,7.6,2024-05-27
S0174,PG Year 2,Deep Learning,56.2,True,6.4,2023-06-10
S0773,Class 11B,English,66.9,False,5.4,2022-10-31
S0355,Class 9A,Biology,51.7,False,2.2,2024-05-31
S1173,Class 9B,Biology,64.7,True,4.9,2024-10-09
S0722,UG Year 2,Research Methods,66.9,True,5.6,2022-06-05
S0774,Class 11A,Chemistry,57.1,True,4.8,2023-08-04
S0017,Class 11B,Physics,55.5,False,4.9,2023-03-20
S0939,PG Year 1,Research Methods,63.2,False,12.6,2022-10-19
S0523,Class 11B,Math,68.7,True,5.5,2025-03-23
S1196,UG Year 3,Statistics,33.2,False,5.3,2024-03-12
S0312,PG Year 1,Research Methods,56.3,False,6.1,2023-07-30
S0662,Class 9A,Math,77.2,True,5.1,2025-02-25
S1026,UG Year 2,Research Methods,61.9,True,4.3,2025-02-10
S0759,Class 11B,Math,49.6,False,4.8,2023-09-25
S0295,Class 6A,English,51.2,False,2.5,2023-04-25
S0522,UG Year 4,Machine Learning,51.0,False,4.5,2024-11-28
S0097,PG Year 2,AI Ethics,66.3,True,6.1,2025-03-28
S0710,PG Year 2,Thesis,77.6,True,12.1,2023-01-07
S1018,Class 9A,Math,77.6,True,6.4,2025-01-27
S0044,Class 11B,Physics,54.3,False,6.3,2025-05-01
S0045,UG Year 4,Machine Learning,47.3,False,4.0,2023-07-15
S0216,Class 9A,Math,57.5,True,3.4,2024-09-12
S0764,Class 9A,Math,52.1,False,5.1,2024-08-30
S0482,UG Year 3,Database Systems,50.8,False,7.2,2025-04-09
S0266,Class 9A,Biology,61.5,True,4.4,2025-01-08
S1107,Class 9B,Math,57.5,False,5.3,2024-05-25
S0772,PG Year 2,Thesis,67.0,True,9.8,2025-04-26
S0511,Class 6A,Science,49.6,False,2.6,2024-10-01
S0287,Class 11A,Computer Science,63.0,False,5.0,2024-06-24
S0329,Class 11A,English,56.4,True,3.2,2023-03-04
S0567,PG Year 1,Data Science,69.3,False,12.8,2024-03-25
S0532,Class 6A,Science,60.6,False,3.4,2023-09-30
S0369,Class 6A,History,82.7,True,3.6,2024-01-07
S0515,PG Year 2,Thesis,71.0,True,7.7,2024-07-21
S0146,Class 11A,English,63.2,True,3.8,2023-09-09
S0661,Class 9A,Physics,73.6,True,6.8,2025-04-02
S0066,PG Year 1,AI Ethics,72.7,True,7.3,2024-11-28
S0294,Class 6B,Geography,75.7,True,2.5,2025-01-12
S0854,Class 6B,Math,54.3,False,1.9,2023-11-14
S0298,PG Year 1,Data Science,69.1,True,6.5,2024-01-30
S0636,UG Year 4,Project Work,66.4,False,8.5,2025-03-30
S0510,Class 6B,Science,71.2,True,2.1,2024-01-23
S0332,PG Year 1,Statistics,59.4,False,8.5,2022-10-17
S0403,UG Year 4,Project Work,65.1,True,5.7,2024-02-06
S0661,Class 11B,Chemistry,71.8,True,6.0,2025-05-14
S0447,PG Year 1,Data Science,73.9,False,14.2,2024-09-26
S0114,Class 6B,English,54.8,False,1.4,2024-04-22
S0483,Class 11A,Physics,56.5,True,7.1,2024-07-03
S1036,PG Year 1,AI Ethics,52.4,False,8.7,2023-01-17
S1181,Class 6A,Math,58.0,False,3.0,2025-05-27
S0339,Class 11B,Physics,71.3,True,6.4,2025-02-15
S0881,Class 6A,Science,68.6,True,3.4,2025-05-19
S1079,UG Year 1,Statistics,66.8,True,6.7,2024-05-06
S0597,Class 11B,Math,52.8,True,5.5,2024-06-14
S0601,Class 9A,English,69.4,True,3.9,2025-05-19
S0210,Class 11A,Math,52.8,False,4.3,2024-08-30
S0706,PG Year 1,Statistics,64.3,True,7.6,2024-09-25
S0530,Class 9B,English,60.8,True,4.0,2024-09-08
S0899,Class 6A,History,62.7,False,2.5,2022-08-21
S0162,Class 11A,Math,48.0,False,4.6,2024-11-04
S0866,Class 11B,Physics,63.7,False,6.2,2023-06-09
S0788,Class 9A,Chemistry,55.8,False,2.7,2025-01-20
S0124,UG Year 3,Research Methods,55.0,True,9.2,2022-08-25
S1110,Class 9A,Chemistry,45.8,False,2.0,2022-07-20
S0648,PG Year 1,Machine Learning,62.1,True,10.1,2025-04-10
S0888,Class 11A,Computer Science,53.5,False,3.0,2025-03-02
S0429,UG Year 3,Data Analysis,48.3,False,4.1,2023-01-31
S0493,Class 9B,Biology,46.0,False,2.7,2024-08-23
S1014,Class 6A,Geography,61.8,False,1.4,2024-10-12
S0873,PG Year 1,Machine Learning,70.4,True,7.1,2023-10-26
S0371,UG Year 1,English,58.6,False,5.9,2024-04-26
S1169,PG Year 2,AI Ethics,79.4,True,9.6,2022-11-15
S0154,UG Year 4,Data Science,61.8,True,8.2,2024-01-19
S0968,UG Year 1,English,54.7,True,3.0,2023-01-05
S0355,PG Year 2,Advanced Statistics,43.6,False,7.1,2022-07-22
S0522,UG Year 2,Research Methods,65.1,True,8.3,2023-10-23
S1125,UG Year 2,Statistics,79.2,True,9.8,2025-01-25
S0725,UG Year 4,Machine Learning,61.3,False,8.2,2023-03-11
S0572,Class 11B,Chemistry,43.7,False,2.4,2024-06-24
S1071,UG Year 4,Advanced Statistics,73.9,True,9.5,2024-09-30
S0100,Class 9B,Math,58.7,False,4.9,2024-05-27
S0606,UG Year 2,Data Analysis,51.8,True,4.5,2024-06-11
S0858,UG Year 2,Statistics,48.2,False,4.2,2024-05-17
S0465,UG Year 1,Statistics,63.5,True,5.1,2025-04-04
S0675,UG Year 3,Statistics,69.2,True,7.3,2024-11-24
S0512,Class 11B,English,70.6,True,3.9,2025-01-17
S1191,Class 11A,Physics,62.8,False,8.5,2025-01-06
S0352,UG Year 1,Economics,61.2,True,4.0,2023-10-16
S1137,Class 6A,Geography,49.5,False,2.1,2023-04-14
S0750,PG Year 1,Statistics,72.9,True,8.3,2022-09-20
S1152,Class 11B,English,71.8,True,6.5,2022-08-13
S0734,Class 9A,Physics,62.9,True,5.2,2025-05-14
S1144,Class 11B,English,65.2,True,5.8,2022-09-24
S1046,UG Year 2,Statistics,53.1,False,5.2,2023-08-17
S0495,PG Year 1,AI Ethics,62.5,False,7.2,2025-03-12
S0104,Class 9A,Math,58.9,False,5.6,2022-10-14
S0663,Class 6A,Science,51.1,False,1.9,2025-02-23
S0091,Class 11A,Math,73.2,True,5.2,2023-02-23
S0948,Class 9A,Physics,58.1,True,5.1,2024-03-08
S0920,PG Year 1,Statistics,54.3,True,6.3,2025-03-19
S0946,UG Year 1,Statistics,54.0,True,3.0,2025-01-11
S0026,Class 11A,Physics,31.8,False,4.4,2022-07-20
S0088,Class 11B,Physics,49.1,False,4.1,2024-02-10
S0671,UG Year 2,Economics,74.8,True,8.1,2024-06-20
S0382,PG Year 1,Data Science,60.3,True,7.6,2023-09-01
S0506,Class 9B,Biology,49.3,False,2.2,2025-05-08
S1140,Class 11A,Computer Science,70.6,True,6.3,2023-04-26
